"Business_ID","Name","Address","City","Latitude","Longitude","Grade"
"PR0086562","AFC SUSHI @ METROPOLITAN MARKET #162","301 228TH AVE SE","SAMMAMISH","47.60591757","-122.03586109","2"
"PR0089918","AFC SUSHI @ METROPOLITAN MARKET #164","2755 77TH AVE SE","MERCER ISLAND","47.58525909","-122.23579976","1"
"PR0091268","AFC SUSHI @ METROPOLITAN MARKET #165","8532 15TH AVE NW","SEATTLE","47.69169625","-122.376165","1"
"PR0080523","AFC Sushi @ Metropolitan Mkt #159","10611 NE 68th ST","KIRKLAND","47.66595267","-122.19771705","1"
"PR0085929","AFC SUSHI @ SAFEWAY #496","15000 NE 24TH ST","REDMOND","47.63269745","-122.14015181","1"
"PR0086247","AFC ZENSHI @ FRED MEYER #031","17801 108TH AVE SE","RENTON","47.44321318","-122.19871298","2"
"PR0051619","AFC ZENSHI @ FRED MEYER #111","33702 21ST AVE SW ","Federal Way","47.2981583171","-122.3590282109","1"
"PR0081764","AFC ZENSHI @ FRED MEYER #19","801 AUBURN WAY N","AUBURN","47.31549215","-122.22635163","1"
"PR0076972","AFC ZENSHI @ FRED MEYER #215","25250 PACIFIC HWY S ","KENT","47.373991689","-122.2980774989","1"
"PR0086563","AFC ZENSHI @ FRED MEYER #23","2041 148TH AVE NE","BELLEVUE","47.62902622","-122.14470915","1"
"PR0077551","AFC ZENSHI @ FRED MEYER #28","14300 1ST AVE S","BURIEN","47.4750606598","-122.3335934514","2"
"PR0081676","AFC ZENSHI @ FRED MEYER #391","12221 120TH AVE NE","KIRKLAND","47.7075884","-122.18343026","2"
"PR0076216","AFC ZENSHI @ FRED MEYER #459","365 RENTON CENTER WAY SW","RENTON","47.47853","-122.21812","1"
"PR0071965","AFC ZENSHI @ FRED MEYER #53","16735 SE 272ND ST ","COVINGTON","47.3565380374","-122.1186118847","1"
"PR0065380","AFC ZENSHI @ FRED MEYER #658","6100 E LAKE SAMMAMISH PKWY SE","ISSAQUAH","47.5468353081","-122.0398151588","1"
